Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,154,570,281,25
DFS,mapA,YES,17,19,22,130,1
IDS,mapA,YES,5,262,496,115,3
A* Basica,mapA,YES,5,52,169,107,44
A* Avancada,mapA,YES,5,83,285,147,3
BFS,mapB,YES,31,183,276,187,7
DFS,mapB,YES,33,78,90,117,2
IDS,mapB,YES,33,2994,4427,190,32
A* Basica,mapB,YES,31,153,227,158,27
A* Avancada,mapB,YES,31,178,267,182,2
BFS,mapC,YES,37,13113,51940,14162,300
DFS,mapC,YES,149,156,247,861,2
IDS,mapC,NO),-,85354,232603,4697,543
A* Basica,mapC,YES,37,11171,43851,12055,967
A* Avancada,mapC,YES,37,12876,50953,13482,150
BFS,mapD,YES,79,113818,702218,116251,5080
DFS,mapD,YES,9034,10310,31829,72051,330
IDS,mapD,NO),-,173279,552120,10045,1551
A* Basica,mapD,YES,79,105382,651011,106684,51954
A* Avancada,mapD,YES,79,112215,692218,113607,2219
